,class
330,0.3715633057539167
331,0.4101772680057892
332,0.3930300020602892
333,0.45442118389240016
334,0.39544297179373306
335,0.4102117887608056
336,0.4558518825992381
337,0.36274238786260593
338,0.4015826344282052
339,0.40796916611897627
340,0.43837921959773335
341,0.3356476329254107
342,0.3758056898795229
343,0.42404324151777334
344,0.4222210811395089
345,0.40114769339611794
346,0.435868256395138
347,0.45709011953561823
348,0.3953014491502431
349,0.3998678535695643
350,0.4252016028500537
351,0.37231689097435283
352,0.8032546332866711
353,0.38974518717202
354,0.46495217204146855
355,0.41869872903513966
356,0.46006256971333614
357,0.44481508334430253
358,0.4127382077742865
359,0.3695962992568346
360,0.40660544089062284
361,0.46874342673835157
362,0.8026556168872622
363,0.4422846279164036
364,0.39837952490084555
365,0.43919133945479516
366,0.37861853481449603
367,0.40229267473208913
368,0.46563654582374997
369,0.4559504000237367
370,0.42974857691159296
371,0.4682073893848843
372,0.39968958908358604
373,0.43919133945479516
374,0.46840909040741807
375,0.4514672293175427
376,0.4487858371913499
377,0.39933757765805383
378,0.4564395223084325
379,0.4044484255646443
380,0.4583189689575619
381,0.40650361491268444
382,0.7926480716810632
383,0.4304692057726184
384,0.44169498352992076
385,0.4650151836388853
386,0.3722868898770397
387,0.43316179984255415
388,0.41064488666718396
389,0.4081569878597876
390,0.37813888987782757
391,0.46006256971333614
392,0.38463515502598056
393,0.4289515960129074
394,0.38484252375955147
395,0.3871186732842631
396,0.412269784308998
397,0.4137428753900981
398,0.38492880747856056
399,0.39429269952627005
400,0.37737959369098595
401,0.4692081434685258
402,0.38320102541284307
403,0.4014322205120486
404,0.4010927673271813
405,0.46936702499481064
406,0.44014561231997795
407,0.4715627220571896
408,0.3570929407602918
409,0.3967800548592087
410,0.36256926568397624
411,0.3629062426891329
412,0.4290975934784991
413,0.3878979546670104
414,0.3858084614834027
415,0.437199770599632
416,0.45877642892440024
417,0.3997786439639063
418,0.42880703719589547
419,0.38749988502274185
420,0.7934551311955406
421,0.3895243395490407
422,0.4432079672753043
423,0.7995775766692641
424,0.43682018694897623
425,0.42325252174937433
426,0.3778003096137227
427,0.4064164005600636
428,0.40761817795673866
429,0.3887093164929346
430,0.3843707459684805
431,0.40650361491268444
432,0.3887783789697705
433,0.42945032292208185
434,0.3975459414466616
435,0.3824214083069218
436,0.42226042010794235
437,0.41575006775889933
438,0.36443178376747404
439,0.4081569878597876
440,0.4013414736236998
441,0.4236861529256713
442,0.400059189790365
443,0.37834203711381026
444,0.37046414181954607
445,0.4236876134766535
446,0.40507472641727177
447,0.786964080171735
448,0.4017978612846848
449,0.4549182467744177
450,0.805928509023135
451,0.45313771723126767
452,0.40428300608596524
453,0.41283561340090247
454,0.43829203971889164
455,0.3737755540582411
456,0.44130170745610325
457,0.45250677848714427
458,0.3930311655635529
459,0.43745481288882987
460,0.3894829197406487
461,0.42817627511937423
462,0.3956617489584816
463,0.7669571910339734
464,0.38446071915418834
465,0.3548044866472527
466,0.8144285902905486
467,0.4021820713232287
468,0.808756188511637
469,0.4043481531250671
470,0.38533150491093676
471,0.4175554809985607
472,0.4194093916838582
473,0.39654362435316276
474,0.4698514333663566
475,0.43308446590552724
476,0.37705777883395847
477,0.3822672697661892
478,0.46689325078758853
479,0.8111103214486667
480,0.42710905535948374
481,0.46438541805633976
482,0.4042930261555146
483,0.35341296037558056
484,0.4468646047808439
485,0.44973674786204815
486,0.40425595439162304
487,0.3963650415849104
488,0.41869872903513966
489,0.40854962018408275
490,0.4364535095099875
491,0.40901776761220104
492,0.38754711224912414
493,0.8135076385003429
494,0.4595691190094762
